from_stop_id,to_stop_id,transfer_type,min_transfer_time
"345001","345002","3",""
"345002","345001","3",""
"358002","358001","3",""
"358001","358002","3",""
"363001","13601","2","300"
"363001","13602","2","300"
"367501","25901","2","120"
"373501","397501","2","180"
"373501","13501","3",""
"373501","13502","3",""
"373501","16902","2","240"
"373501","16901","2","240"
"376502","13501","3",""
"376502","13502","3",""
"376501","13501","3",""
"376501","13502","3",""
"962101","17901","2","300"
"962101","17902","2","300"
"385001","17301","2","300"
"385001","17302","2","300"
"385001","26401","2","300"
"385001","26402","2","300"
"385021","17301","2","300"
"385021","17302","2","300"
"385021","26401","2","300"
"385021","26402","2","300"
"385009","17301","2","300"
"385009","17302","2","300"
"385009","26401","2","300"
"385009","26402","2","300"
"385017","17301","2","300"
"385017","17302","2","300"
"385017","26401","2","300"
"385017","26402","2","300"
"385007","17301","2","300"
"385007","17302","2","300"
"385007","26401","2","300"
"385007","26402","2","300"
"385006","17301","2","300"
"385006","17302","2","300"
"385006","26401","2","300"
"385006","26402","2","300"
"385005","17301","2","300"
"385005","17302","2","300"
"385005","26401","2","300"
"385005","26402","2","300"
"385004","17301","2","300"
"385004","17302","2","300"
"385004","26401","2","300"
